script_id,imdb_id,title,year,gross (inflation-adjusted),link
4549,tt0427470,The Lookout,2007,5,http://www.dailyscript.com/scripts/The-Lookout.pdf
4554,tt1482459,The Lorax,2012,233,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Lorax.pdf
1115,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,482,"film_20100519/all_imsdb_05_19_10/Lord-of-the-Rings-Fellowship-of-the-Ring,-The.html"
1114,tt0167260,The Lord of the Rings: The Return of the King,2003,543,film_20100519/all_imsdb_05_19_10/Lord-of-the-Rings-Return-of-the-King.html
1116,tt0167261,The Lord of the Rings: The Two Towers,2002,509,film_20100519/all_imsdb_05_19_10/Lord-of-the-Rings-The-Two-Towers.html
2805,tt0480255,The Losers,2010,25,"http://www.imsdb.com/Movie Scripts/Losers, The Script.html"
4559,tt0093437,The Lost Boys,1987,71,http://www.dailyscript.com/scripts/TheLostBoys.htm
4564,tt0144286,The Lost Son,1999,,http://www.alibi-books.com/thelostson/thelostson.htm
7494,tt0037884,The Lost Weekend,1945,,Lost Weekend (1945).pdf
4464,tt0119567,The Lost World: Jurassic Park,1997,434,http://www.scifiscripts.com/scripts/jurassic2_thw.txt
6903,tt2350496,The Lunchbox,2013,4,The Lunchbox-screenplay.pdf
4577,tt0097806,The Magic Toyshop,1987,,http://www.aellea.com/emruf3/toyshop.html
8406,tt1107860,The Maiden Heist,2009,,The Maiden Heist.pdf
8616,tt0268995,The Majestic,2001,42,The-Majestic (Frank Darabont Rewrite).pdf
1132,tt0120744,The Man in the Iron Mask,1998,105,film_20100519/all_imsdb_05_19_10/Man-in-the-Iron-Mask.html
2838,tt0049470,The Man Who Knew Too Much,1956,,"http://www.imsdb.com/Movie Scripts/Man Who Knew Too Much, The Script.html"
1134,tt0368008,The Manchurian Candidate,2004,92,"film_20100519/all_imsdb_05_19_10/Manchurian-Candidate,-The.html"
7135,tt0102411,The Marrying Man,1991,25,"MARRYING MAN, THE (1991) by Neil Simon [1989.10.25] [Scan].pdf"
8564,tt3659388,The Martian,2015,235,"The Martian (Goddard, 10-4-13).pdf"
1140,tt0110475,The Mask,1994,249,"film_20100519/all_imsdb_05_19_10/Mask,-The.html"
2866,tt1560747,The Master,2012,17,"http://www.imsdb.com/Movie Scripts/Master, The Script.html"
1141,tt0133093,The Matrix,1999,292,"film_20100519/all_imsdb_05_19_10/Matrix,-The.html"
1143,tt0234215,The Matrix Reloaded,2003,405,"film_20100519/all_imsdb_05_19_10/Matrix-Reloaded,-The.html"
7822,tt1790864,The Maze Runner,2014,108,"Maze Runner, The - Noah Oppenheim [06.10.2011].pdf"
2880,tt0472399,The Mechanic,2011,31,"http://www.imsdb.com/Movie Scripts/Mechanic, The Script.html"
9246,tt1234548,The Men Who Stare at Goats,2009,37,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Men_Who_Stare_At_Goats,%20The.pdf"
9004,tt0790712,The Messenger,2009,1,http://indiegroundfilms.files.wordpress.com/2014/01/messenger-the-numbered.pdf
4630,tt0117057,The Mirror Has Two Faces,1996,81,http://www.dailyscript.com/scripts/mirrorhastwofaces.pdf
6108,tt0884328,The Mist,2007,32,"Mist, The (2005.08.05).pdf"
8452,tt0091557,The Mosquito Coast,1986,33,"MOSQUITO COAST, THE (1986) by Paul Schrader.pdf"
4648,tt0265349,The Mothman Prophecies,2002,52,http://www.horrorlair.com/movies/mothman_prophecies_august_1998_draft.html
1176,tt0120616,The Mummy,1999,265,"film_20100519/all_imsdb_05_19_10/Mummy,-The.html"
4661,tt0859163,The Mummy: Tomb of the Dragon Emperor,2008,123,http://pdfscripts.weebly.com/uploads/9/1/6/8/916864/the_mummy_iii.pdf
4679,tt0102510,The Naked Gun 2½: The Smell of Fear,1991,179,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Naked_Gun_II,_The.pdf"
2997,tt1458175,The Next Three Days,2010,23,"http://www.imsdb.com/Movie Scripts/Next Three Days, The Script.html"
3006,tt0107688,The Nightmare Before Christmas,1993,157,http://www.dailyscript.com/scripts/nightmare-b4-xmas_early.html
3010,tt0810988,The Nines,2007,,"http://www.imsdb.com/Movie Scripts/Nines, The Script.html"
7565,tt0142688,The Ninth Gate,1999,32,"Ninth Gate, The (1999) (Numbered).pdf"
8197,tt2402157,The November Man,2014,26,NOVEMBER MAN.pdf
4727,tt0481369,The Number 23,2007,44,http://www.horrorlair.com/movies/the-number-23-script.html
7137,tt0120773,The Odd Couple II,1998,35,"ODD COUPLE II, THE (1998) by Neil Simon [1997.04.10] [3rd] [Scan].pdf"
3038,tt0067525,The Omega Man,1971,,http://www.dailyscript.com/scripts/i_am_legend_6_26_70.html
1212,tt0467200,The Other Boleyn Girl,2008,32,"film_20100519/all_imsdb_05_19_10/Other-Boleyn-Girl,-The.html"
7627,tt1386588,The Other Guys,2010,131,The Other Guys aka The Back Ups - CHRIS HENCHY AND ADAM MCKAY.pdf
9056,tt0230600,The Others,2001,148,http://indiegroundfilms.files.wordpress.com/2014/01/others-the-numbered.pdf
6163,tt0075029,The Outlaw Josey Wales,1976,,"Outlaw Josey Wales, The (1975.09.10).pdf"
7119,tt0086066,The Outsiders,1983,70,"Outsiders, The.pdf"
1216,tt0395699,The Pacifier,2005,153,"film_20100519/all_imsdb_05_19_10/Pacifier,-The.html"
4769,tt0071970,The Parallax View,1974,,http://www.dailyscript.com/scripts/The_Parallax_View_-_Original_Draft.pdf
4774,tt0353092,The Partners,2003,,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Partners,_The.pdf"
9062,tt2404461,The Past,2013,1,http://indiegroundfilms.files.wordpress.com/2014/01/past-the-sep-2013-shooting.pdf
1218,tt0187393,The Patriot,2000,182,"film_20100519/all_imsdb_05_19_10/Patriot,-The.html"
4778,tt0107798,The Pelican Brief,1993,212,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Pelican_Brief.pdf
3079,tt1659337,The Perks of Being a Wallflower,2012,19,"http://www.imsdb.com/Movie Scripts/Perks of Being a Wallflower, The Script.html"
3092,tt0253474,The Pianist,2002,48,"http://www.imsdb.com/Movie Scripts/Pianist, The Script.html"
3095,tt0107822,The Piano,1993,84,"http://www.imsdb.com/Movie Scripts/Piano, The Script.html"
4787,tt1817273,The Place Beyond the Pines,2012,23,http://focusguilds2013.com/workspace/media/tpbtp-final-script-9-26-2011.pdf
4804,tt0086122,The Ploughman's Lunch,1983,,http://www.dailyscript.com/scripts/ploughmans_lunch.html
4810,tt0069113,The Poseidon Adventure,1972,477,http://www.scifiscripts.com/scripts/Poseidon_Adventure.pdf
